,open,high,low,close,volume,date
306,165.8000,167.2500,165.3400,166.9600,4869635,2024-01-16
307,162.9700,165.9800,162.3550,165.8000,4958261,2024-01-12
308,161.0200,162.2300,160.2900,162.1600,3778395,2024-01-11
309,160.2800,161.3400,159.7400,161.2300,2967852,2024-01-10
310,160.0000,160.4837,159.5100,160.0800,2617186,2024-01-09
311,158.6900,161.2160,157.8850,161.1400,3321698,2024-01-08
312,159.9100,160.5500,158.6700,159.1600,3698961,2024-01-05
313,160.2200,161.8100,160.1700,160.8600,3212004,2024-01-04
314,161.0000,161.7300,160.0800,160.1000,4086065,2024-01-03
315,162.8300,163.2900,160.4600,161.5000,3825044,2024-01-02
316,163.7500,164.1800,162.8300,163.5500,2526169,2023-12-29
317,163.9600,163.9600,163.4000,163.7500,2071313,2023-12-28
318,163.1400,163.6400,162.6800,163.4600,3006612,2023-12-27
319,162.2300,163.3100,162.0500,163.2100,1772443,2023-12-26
320,161.1000,162.4100,161.0000,162.1400,2442715,2023-12-22
321,160.5900,161.0800,159.5300,160.7800,2982924,2023-12-21
322,161.2900,161.8000,160.0100,160.0500,4865797,2023-12-20
323,161.8000,162.2800,161.3200,161.5600,3717429,2023-12-19
324,162.2300,163.3300,161.5766,162.7400,3677533,2023-12-18
325,162.3000,164.0900,162.0400,162.2300,11016108,2023-12-15
326,162.9300,163.4990,160.1490,162.9100,6129804,2023-12-14
327,164.3700,164.9653,162.7350,163.6200,4989141,2023-12-13
328,163.2700,166.3400,162.9200,164.7100,5292290,2023-12-12
329,162.6800,163.6500,161.9500,163.5100,6077207,2023-12-11
330,160.0000,162.0400,160.0000,161.9600,4561342,2023-12-08
331,161.0000,161.4650,159.9700,160.2200,3665498,2023-12-07
332,161.5900,162.3550,160.0100,160.2800,3356432,2023-12-06
333,160.7600,162.4700,160.7200,161.3900,4556668,2023-12-05
334,160.2900,162.7900,160.2900,161.1000,5779017,2023-12-04
335,158.4100,160.5900,158.0000,160.5500,4871860,2023-12-01
336,156.9500,158.6000,156.8900,158.5600,6740622,2023-11-30
337,156.1500,157.5100,156.0200,156.4100,3568887,2023-11-29
338,155.4400,155.7450,154.8600,155.6500,2666182,2023-11-28
339,154.9900,156.1350,154.7500,155.5700,4053093,2023-11-27
340,155.1300,155.4000,153.9200,155.1800,1799161,2023-11-24
341,154.5000,155.7050,154.1600,155.1300,3045091,2023-11-22
342,154.6000,154.6600,153.5100,153.9100,2859508,2023-11-21
343,152.5100,154.6800,152.3500,154.3500,3658936,2023-11-20
344,153.2900,153.5000,152.4601,152.8900,4426676,2023-11-17
345,153.0000,153.3500,152.1300,153.0600,3519172,2023-11-16
346,150.4000,153.2200,150.4000,152.5800,4632519,2023-11-15
347,149.4500,150.8063,149.0500,150.4100,4321940,2023-11-14
348,148.4600,148.4900,147.3500,148.1000,2647288,2023-11-13
349,147.4400,149.1700,146.8500,149.0200,3179541,2023-11-10
350,146.5500,146.9900,145.2800,146.6200,3412713,2023-11-09
351,149.2500,149.6800,147.5850,148.0300,3618588,2023-11-08
352,149.0300,149.2800,148.0300,148.8300,3549853,2023-11-07
353,147.8900,149.2250,147.8500,148.9700,4597249,2023-11-06
354,147.4500,148.4450,147.2800,147.9000,3510495,2023-11-03
355,145.7700,147.1000,144.8400,147.0100,3902657,2023-11-02
356,145.0000,146.5100,144.4500,145.4000,4750081,2023-11-01
357,143.0000,144.7600,142.5900,144.6400,6592041,2023-10-31
358,143.1900,144.5000,142.5800,142.6300,4204190,2023-10-30
359,143.6200,144.7000,141.7100,142.5200,5469227,2023-10-27
360,142.2000,144.4100,141.5800,143.7600,11130170,2023-10-26
361,137.5000,138.4900,136.3300,137.0800,6472549,2023-10-25
362,136.7400,137.9800,136.0500,137.7900,3697975,2023-10-24
363,136.6300,137.6800,135.8700,136.3800,3457527,2023-10-23
364,138.1500,139.2700,137.1200,137.1600,4865615,2023-10-20
365,138.6400,139.4050,137.9300,138.0100,5314159,2023-10-19
366,140.0000,140.4300,139.5800,139.9700,3329985,2023-10-18
367,137.1200,140.6200,136.3100,140.3200,4172822,2023-10-17
368,139.2800,139.7800,138.5200,139.2100,3361468,2023-10-16
369,139.7700,140.1200,138.2700,138.4600,4583553,2023-10-13
370,142.5100,142.9300,140.9500,141.2400,3921142,2023-10-12
371,142.5100,143.3400,142.1400,143.2300,2511459,2023-10-11
372,142.6000,143.4150,141.7200,142.1100,3015784,2023-10-10
373,142.3000,142.4000,140.6800,142.2000,2354396,2023-10-09
374,141.4000,142.9400,140.1100,142.0300,3511347,2023-10-06
375,140.9000,141.7000,140.1900,141.5200,3223910,2023-10-05
376,140.3700,141.2004,139.9900,141.0700,2637779,2023-10-04
377,140.8700,141.6400,140.0000,140.3900,3284421,2023-10-03
378,140.0400,141.4500,139.8600,140.8000,3275461,2023-10-02
379,142.0000,142.1300,139.6100,140.3000,5703983,2023-09-29
380,142.1400,142.2820,140.2050,141.5800,5783422,2023-09-28
381,143.6700,143.8200,141.7600,143.1700,4439121,2023-09-27
382,145.5100,146.1700,143.0201,143.2400,4824654,2023-09-26
383,146.5700,147.4300,146.2500,146.4800,2694245,2023-09-25
384,147.4100,148.1000,146.8200,146.9100,2562216,2023-09-22
385,149.0000,149.2500,147.3100,147.3800,4944786,2023-09-21
386,148.3600,151.9299,148.1300,149.8300,9636681,2023-09-20
387,145.0000,146.7200,144.6600,146.5200,3945423,2023-09-19
388,145.7700,146.4800,145.0600,145.0900,2508062,2023-09-18
389,147.1100,147.8500,145.5300,145.9900,6234033,2023-09-15
390,147.3800,147.7300,146.4800,147.3500,2723200,2023-09-14
391,145.9500,146.9800,145.9200,146.5500,2627999,2023-09-13
392,147.9200,148.0000,145.8000,146.3000,4457695,2023-09-12
393,148.5700,148.7800,147.5800,148.3800,3273720,2023-09-11
394,147.3500,148.5900,147.2600,147.6800,3722927,2023-09-08
395,148.1300,148.7800,147.4000,147.5200,3333040,2023-09-07
396,147.6600,148.3300,147.1200,148.0600,2932203,2023-09-06
397,147.9100,149.0000,147.5719,148.1300,3731281,2023-09-05
398,147.2600,148.1000,146.9200,147.9400,2727796,2023-09-01
399,146.9400,147.7275,146.5400,146.8300,3885949,2023-08-31
400,146.4200,146.9200,145.7452,146.8600,2245402,2023-08-30
401,146.3000,146.7300,145.6200,146.4500,2778113,2023-08-29
402,145.4100,146.7400,145.2100,146.0200,3561347,2023-08-28
403,144.1800,145.4700,143.5000,145.3500,3660147,2023-08-25
404,143.5050,144.4700,143.2200,143.5500,2900244,2023-08-24
405,141.7200,143.4750,141.5800,143.4100,2559083,2023-08-23
406,142.6600,143.2250,141.3000,141.4900,3557734,2023-08-22
407,141.4200,142.3900,141.1100,142.2800,2937781,2023-08-21
408,140.0000,141.8300,139.7600,141.4100,3915480,2023-08-18
409,141.0100,142.6600,140.6000,140.6600,3742058,2023-08-17
410,141.7000,142.0900,140.5600,140.6400,3285347,2023-08-16
411,141.5000,142.3100,141.2000,141.8700,3656559,2023-08-15
412,143.0500,143.3650,141.8020,141.9100,4226563,2023-08-14
413,143.1200,143.4500,142.2050,143.1200,2526433,2023-08-11
414,143.0400,144.5800,142.6900,143.2500,4735763,2023-08-10
415,144.9400,144.9400,142.3000,142.4900,4073038,2023-08-09
416,145.7000,146.1500,144.1100,145.9100,4654582,2023-08-08
417,145.0000,146.5000,144.9300,146.1800,3438654,2023-08-07
418,145.0900,146.0900,143.9900,144.2400,4223204,2023-08-04
419,143.7800,145.2200,143.3116,144.4500,3952640,2023-08-03
420,142.7800,144.3000,142.3100,144.1700,4959381,2023-08-02
421,144.2500,144.4800,142.1700,143.3300,4798703,2023-08-01
422,143.8100,144.6050,143.5300,144.1800,6138902,2023-07-31
423,143.4400,143.9500,142.8500,143.4500,6686627,2023-07-28
424,142.3000,143.3800,141.9000,142.9700,6331563,2023-07-27
425,140.4400,141.2500,139.8800,141.0700,4046441,2023-07-26
426,139.4200,140.4300,139.0403,140.3300,3770813,2023-07-25
427,139.3500,140.1200,138.7788,139.5400,3475442,2023-07-24
428,138.2100,139.7799,137.7600,138.9400,5858741,2023-07-21
429,137.1900,140.3200,136.5600,138.3800,10896330,2023-07-20
430,135.5300,136.4500,135.1900,135.4800,5519992,2023-07-19
431,134.7100,135.9500,134.2900,135.3600,3852058,2023-07-18
432,133.2600,134.6100,133.1000,134.2400,3168419,2023-07-17
433,133.9100,133.9200,132.9400,133.4000,2861496,2023-07-14
434,133.5100,135.0700,133.3600,133.9200,3221422,2023-07-13
435,135.0700,135.3300,132.5750,132.8400,3732189,2023-07-12
436,133.6600,134.5600,133.2300,134.4400,2925238,2023-07-11
437,131.7600,133.0500,131.6950,132.9000,2369425,2023-07-10
438,131.7800,133.8550,131.7500,132.0800,2982738,2023-07-07
439,133.2350,133.9000,131.5500,132.1600,3508083,2023-07-06
